CODIGO,NOMBRE
124004,ESPIRAL CARTA 12 MM  PAQ X 100 NEGRO
124005,ESPIRAL CARTA 14 MM  PAQ X 100 NEGRO
124006,ESPIRAL CARTA 17 MM  PAQ X 100 NEGRO
124007,ESPIRAL CARTA 20 MM  PAQ X 70 NEGRO
124008,ESPIRAL CARTA 20 MM  PAQ X 70 TRANSPARENTE
124009,ESPIRAL CARTA 23 MM  PAQ X 60 NEGRO
124010,ESPIRAL CARTA 25 MM  PAQ X 45 NEGRO
124011,ESPIRAL CARTA 33 MM  PAQ X 25 NEGRO
124012,ESPIRAL CARTA 40 MM  PAQ X 20 NEGRO
131001,DESPUNTADORA L30
131002,TROQUEL TRIPLE SERVICIO
131003,ORGANIZADOR DE LLAVES REF 8702
131004,ORGANIZADOR DE LLAVES REF 8704
131005,GANCHO CAIMAN AMERICANO ORIGINAL
131006,GANCHO MOSQUETON PORTACINTA
131007,VARILLA MEDIA LUNA  10 CM X 100 NEGRO
131008,VARILLA MEDIA LUNA  10 CM X 100 BLANCO
131009,VARILLA MEDIA LUNA  15 CM X 100 NEGRO
131010,VARILLA MEDIA LUNA  15 CM X 100 BLANCO
131011,VELOPLAST 4 PINES PAQ X 100 NEGRO
131012,ACETATOS CARTA PAQ X 50
131013,PROTECTOR DE HOJA DELGADO CARTA PQ X 100 (0.03MM)
131014,PROTECTOR DE HOJA DELGADO OFICIO PQ X 100 (0.03MM)
131015,PROTECTOR DE HOJA GRUESO CARTA PQ X 50 (0.08MM)
131016,PROTECTOR DE HOJA GRUESO CARTA PQ X 50 CAL (0.10MM)
131017,YOYO ORIGINAL CAJA X 50 AMARILLO
131018,YOYO ORIGINAL CAJA X 50 AZUL
131019,YOYO ORIGINAL CAJA X 50 BLANCO
131020,YOYO ORIGINAL CAJA X 50 NEGRO
131021,YOYO ORIGINAL CAJA X 50 ROJO
131022,YOYO ORIGINAL CAJA X 50 VERDE
131023,MESA DE TRABAJO
131024,PINZA FOTO 40 X 50 MM
131025,BRAZALETE VERTICAL PQ X 200 AMARILLO
131026,BRAZALETE VERTICAL PQ X 200  VERDE
131028,YOYO CUADRADO CAJA X 50 AZUL
131029,YOYO CUADRADO CAJA X 50 NEGRO
131030,YOYO GENERICO CAJA X 50 NEGRO
131031,YOYO GENERICO CAJA X 50 VERDE
131032,YOYO CORAZON CAJA X 50 BLANCO
131033,VARILLA MEDIA LUNA  20 CM X 100 BLANCO
131034,VARILLA MEDIA LUNA  20 CM X 100 NEGRO
211001,DESTRUCTOR DE PAPEL SUNWOOD 9270
